Q1.Eco.Info.Important,Q2.Belief.In.Eco.Label,Q3.Understand.Eco.Certificate,Q4.Individuals.Can.Improve.Environment,Q5.Corporation.Can.Improve.Environment,Q6.Need.Eco.Certificate.Fashion,Q7.Eco.Cert.Help.Buyers,Q8.Seek.For.Eco.Cert.Clothes,Q9.Buy.Eco.Product,Q10.Pay.More.For.Eco.Products,Q11.Pay.Premium.For.Eco.Clothing,Q12.Ready.To.Pay.More.For.Certified.Eco.Products,Q13.Reduce.Consumption,Q14.Protect.Environment,Q15.Purchase.Less.Harmful.Clothing,Q16.Avoid.Buying.Harmful.Products,Q17.Support.Environmental.Protection,Q18.Rather.Buy.Eco.Clothes,Q19.Price.Of.Eco.Products.More.On.Average,Q20.Prefer.Purchase.More.Expensive.Clothing,Q21.Eco.Label.Brand.Socially.Acceptable,Q22.Rather.Stick.With.Conventional.Brand.Than.Eco.Brand,Q23.Rarely.Swith.Brand.To.Try.Something.New,Q24.No.Different.To.Me.Eco.Clothing.Is.Not.Branded,Q25.Eco.Clothing.More.Fashionable,Q26.Eco.Clothing.Quality.Higher,Q27.Country.Can.Positively.Influence.Environment,Q28.Support.Eco.Protection.Socially.Responsible,Q29.Satisfied.Purchasing.Eco.Clothing,Q30a.Fair.Trade,Q30b.Fair.And.Care,Q30c.Global.Organic.Textile.Standard,Q30d.Fair.Wear.Foundation,Q30e.Clean.Clothes.Campaign,Q30f.Oeko.Tex,Q30g.I.Know.None.Of.Them,Q31a.Fit,Q31b.Comfort,Q31c.Fibre.Material,Q31d.Quality.Workmanship,Q31e.Garment.Life,Q31f.Colour,Q31g.Style,Q31h.Brand,Q31i.Price,Q31j.COO,Q31k.Durability,Q31l.Certified.Eco.Label,Q31m.Certified.Ethical.Label,Q38a.Less.Water.Use,Q38b.Air.Quality,Q38c.Less.Energy.Use,Q38d.Worker.Safety,Q38e.Fair.Wages,Q38f.No.Child.Labour,Q38g.No.Animal.Skin.Use,Q32.Last.Of.My.Circle.Knowing.Latest.Designers.And.Trends,Q33.Little.Shopping.New.Fashion.Than.My.Friends,Q34.Last.Of.My.Circle.Purchase.New.Fashion,Q36.Faster.Knowing.More.About.New.Fashion.Than.Others,Q36.Interest.Buying.Locally.Available.New.Style,Q37.Consider.Buying.New.Styles.Without.Heard.About.It,Total.Score,Innovator.Groups,Q39.Annual.Spending.On.Clothes,Q40.Employment.Status,Q41.Sex,Q42.Income,Q43.Age,AgeGroups,Q44.Highest.Level.Of.Education
5,3,3,3,4,3,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,2,3,2,3,3,4,4,3, , , , , , ,1,4,4,4,4,3,5,5,5,4,3,3,2,3,3,4,3,3,3,5,3,3,3,3,3,3,4,19,2,2,3,1,10,3,2,5
5,5,4,4,5,4,3,3,4,5,1,1,2,3,4,3,3,3,3,2,4,2,2,2,3,3,5,3,5, , ,1, , , , ,5,5,4,5,2,5,5,3,5,1,3,2,2,3,3,3,3,2,3,2,1,2,2,1,1,2,8,2,1,3,2,6,5, ,3
5,3,3,4,5,5,5,5,5,3,4,4,2,4,3,3,4,3,3,5,5,5,5,5,5,5,5,5,5, , , , , , , ,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,3,2,3,4,3,3,18,2,4,4,1,11,1,1,1
3,3,3,4,4,4,3,4,4,3,3,3,4,3,4,4,4,4,3,2,3,3,3,2,3,3,4,4,4,1, , , , , , ,5,5,4,4,4,3,3,3,4,3,3,3,3,4,4,4,5,4,4,3,1,1,1,1,4,3,11,2,1,3,2, ,4,2,4
4,4,5,5,5,5,3,5,4,3,3,1,3,4,3,4,4,4,5,4,3,3,4,3,4,3,5,5,3, , , , , , ,1,5,5,4,4,3,5,5,3,5,2,1,3,2,2,3,3,4,4,5,3,4,4,4,4,3,2,21,2,1,2,2,10,4,2,3
5,5,4,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,3,2,5,3,4,2,4,4,5,5,5, , , , , , ,1,5,5,5,5,3,3,3,3,5,4,4,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,12,2,1,3,2,11,4,2,4
5,3,4,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,3,4,4,1,3,1,3,4,5,5,5,1, , , , , , ,5,5,4,4,4,3,3,2,4,4,4,4,4,5,2,2,5,5,5,5,1,1,1,5,3,4,15,2,2,7,2,2,3,2,3
5,5,4,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4,5,3,3,5,5,5,5,5,4, , , , , , ,1,5,5,5,5,4,5,5,3,4,3,4,4,5,3,2,2,2,2,5,5,2,3,2,3,3,3,16,2,2,2,2,3,4,2,2
4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , ,1,4,4,4,4,4,4,4,4,4,4,4,4,4, , , , , , , ,3,3,3,3,3,3,18,2, , , , , , , 
5,4,4,5,5,5,5,5,5,4,2,4,4,4,5,4,4,4,4,4,4,2,2,3,2,2,5,4,3, , , , , , ,1,5,5,4,4,3,4,4,2,3,2,3,3,5,3,5,2,5,5,5,2,2,2,2,2,3,3,14,2,1,3,1,5,4,2,2
5,4,5,4,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,1, ,1, , , , ,5,5,5,5,4,4,4,3,3,3,4,5,5,2,2,2,2,2,5,2,3,2,3,2,3,2,15,2,4,3,2,4,4,2,3
4,4,4,4,5,3,4,3,4,4,3,3,3,2,3,4,4,3,4,3,4,3,4,4,3,3,5,5,4, , ,1,1, , , ,5,5,4,5,4,4,4,4,5,4,4,4,3,3,3,2,2,2,5,3,4,3,4,3,3,3,21,2,4,4,1,7,2,1,4
4,4,4,4,5,4,4,4,5,4,4,4,3,4,4,4,4,4,5,3,4,3,4,2,4,4,5,4,4, , , , , , ,1,5,5,4,4,3,4,4,2,5,2,2,3,4,2,3,3,2,3,2,3,3,3,2,2,4,4,18,2,3,7,2,8,4,2,2
4,4,4,4,4,4,4,3,3,3,3,2,3,3,4,4,4,3,3,2,3,3,4,4,3,4,4,4,4, , , , , , ,1,5,5,4,4,4,4,4,2,4,2,2,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,18,2,3,4,2,1,1,1,3
4,4,3,5,5,4,3,3,4,3,3,3,4,3,3,3,2,3,5,2,3,3,2,2,3,3,5,4,3, , , , , , ,1,5,5,4,4,4,5,5,4,4,1,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,5,20,2,7,4,1,11,1,1,3
5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,5,2,1,4,3,2,5,4,1, , , , , , ,4,4,3,3,5,4,4,1,3,2,4,3,3,2,5,5,2,2,2,5,2,1,2,2,2,2,11,2,3,4,2,2,1,1,3
5,3,4,5,4,5,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4, , , , , , ,1,5,4,4,4,4,4,4,4,4,3,4,4,5,2,2,2,2,2,2,2,3,2,3,3,3,3,17,2,1,6,1,1,2,1,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,18,2,2,5,1,8,3,2,2
5,5,5,4,5,5,4,4,4,3,2,2,3,4,5,4,5,4,3,3,4,2,2,2,4,3,5,5,4, , , , , , ,1,4,5,3,4,2,4,4,3,3,3,3,4,4,2,2,2,5,5,5,5,2,2,1,3,2,3,13,2,2,6,2,2,4,2,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,2,3,3,3,5,5,5, , ,1, , , , ,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,5,21,2,6,3,2,10,2,1,3
4,4,3,4,3,4,4,4,4,3,3,3,4,5,5,4,5,4,4,4,4,2,2,4,4,4,5,5,4, , , , , , ,1,4,5,4,5,4,4,5,5,4,4,4,4,4,2,5,2,5,2,5,5,3,3,4,4,4,4,22,2,2,3,2,3,4,2,2
5,4,5,5,5,5,5,5,5,3,3,3,5,5,5,5,3,5,4,4,4,3,3,3,3,3,5,5,4, , , , , , ,1,5,4,4,4,4,4,4,4,5,3,3,4,3, , , , , , , ,1,1,1,3,3,5,14,2, , , , , , , 
5,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,3,4,3,3,4,2,4,4,4,3, , , , , , ,1,5,4,4,5,4,4,4,4,3,3,4,2,3,3,3,3,2,2,5,5,2,2,2,3,3,3,15,2,2,4,2,1,1,1,3
5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,2,4,2,4,4,4,4,4, , , , , , ,1,5,5,4,4,4,5,5,3,5,2,5,4,4,2,2,3,2,2,3,2,2,2,2,2,2,3,13,2,3,4,2,1,1,1,3
5,3,4,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,2,2,2,3,3,4,4,4, , ,1, , , , ,5,5,5,5,4,4,4,3,3,2,3,3,3,2,2,2,2,2,5,5,2,2,2,3,3,2,14,2,3,3,1,6,1,1,3
5,5,4,4,5,4,5,4,5,3,3,3,3,4,5,4,4,4,4,3,5,2,3,3,3,3,3,4,4, , ,1, , , , ,5,5,5,4,3,4,4,4,5,3,4,5,5,3,5,5,5,5,5,5,4,4,4,3,4,4,23,1,7,4,2,8,2,1,3
4,4,5,3,5,4,4,4,4,2,3,3,4,4,4,4,4,4,3,3,3,4,4,3,3,3,4,4,4, ,1,1, ,1, , ,4,5,5,5,3,4,5,5,4,2,5,3,4,2,2,2,2,2,5,3,4,4,4,4,4,4,24,1,5,4,2,6,1,1,3
3,4,4,5,5,3,3,3,4,3,3,4,4,3,4,4,3,3,3,3,4,2,3,2,3,3,4,4,3, , , , , , ,1,5,4,4,4,3,4,4,4,3,2,4,3,3,3,3,3,3,3,2,3,4,4,3,2,3,4,20,2,2,4,2,11,1,1,4
5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,1,3,1,3,4,4,5,4, , , , , , ,1,4,5,5,3,5,3,3,3,4,3,4,4,4,2,2,2,5,2,5,5,4,2,3,3,3,2,17,2,3,3,2,4,2,1,4
5,4,3,5,5,5,5,5,5,3,4,3,5,5,5,5,5,5,3,3,5,2,4,3,3,3,5,5,5, , , , , , ,1,5,5,3,5,3,4,5,2,4,2,3,3,5,3,2,2,5,5,5,5,3,2,3,3,3,3,17,2,4,4,2,1,1,1,4
4,3,4,4,5,5,3,3,5,3,3,3,4,3,4,3,3,3,5,3,3,2,4,2,5,3,5,4,3, , ,1, , , , ,5,4,4,5,3,3,4,2,5,1,3,3,3,2,2,2,3,2,2,1,1,1,2,3,3,4,15,2,1,1,2,1,1,1,3
5,4,3,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,3,3,3,2,2,1,5,3,5,5,5, , , , , , ,1,5,5,5,5,4,5,5,3,5,3,5,3,5,3,3,2,5,5,5,5,1,5,5,3,5,5,24,1,4,4,2,1,2,1,4
5,4,2,5,5,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,2,4,4,4,3,4,4,4, , , , , , ,1,5,5,4,5,3,4,4,3,4,2,3,3,4,2,2,2,2,2,2,3,2,2,2,2,4,3,15,2,4,4,2,2,1,1,3
4,4,3,4,4,4,4,3,4,3,3,3,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3, , , , , , ,1,5,5,5,5,4,4,5,3,4,2,4,2,4,3,2,2,2,2,3,2,5,3,4,3,3,4,22,2,4,4, ,1,1,1,1
4,4,2,4,5,4,4,4,4,4,4,3,4,4,5,4,4,4,5,4,4,2,4,2,4,4,3,4,4, , , , , , ,1,5,5,2,4,3,4,3,4,3,3,2,2,2,2,2,2,2,2,2,2,4,2,2,2,1,1,12,2,2,2,1,8,2,1,4
5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4, , , , , , ,1,5,5,5,5,4,4,4,3,5,4,4,4,4,5,4,4,4,4,4,4,2,2,2,2,1,2,11,2,1,1,1,4,1,1,3
4,4,2,5,5,5,4,4,4,3,3,3,4,4,5,5,4,4,3,3,4,2,3,2,4,4,4,4,4, , , , , , ,1,5,5,4,4,2,4,5,2,3,2,4,3,3,3,4,4,4,4,4,4,3,4,4,3,3,5,22,2,4,4,2,4,2,1,3
5,4,5,5,5,4,4,5,5,4,4,3,4,5,5,5,5,5,5,4,5,3,3,2,2,2,5,5,4, , , , , , ,1,5,4,3,4,3,5,5,2,5,1,1,2,3,4,4,4,4,4,5,5,3,4,5,3,2,5,22,2,6,6,2,4,1,1,3
5,4,2,5,3,3,5,3,3,1,1,1,3,4,1,1,5,3,1,1,4,1,1,1,4,4,5,5,4, , , , , , ,1,5,4,4,4,1,2,3,1,3,1,4,5,5,1,1,1,1,1,1,5,5,2,5,3,1,1,17,2,5,5,1,1,1,1,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5, , , , , , ,1,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,24,1,4,4,2,1,1,1,1
5,4,4,4,5,5,4,4,5,2,2,3,2,4,4,4,5,3,2,2,4,2,4,4,3,3,4,4,3, , , , , , ,1,4,5,3,4,4,4,4,3,5,3,4,4,4, , , , , , , ,2,2,2,3,3,3,14,2, , , , , , , 
5,4,4,5,5,5,5,5,5,3,3,3,3,5,5,4,5,4,3,3,4,2,3,2,3,3,4,4,4, , ,1, , ,1, ,5,5,4,4,3,5,5,3,4,2,3,3,4,3,3,3,4,3,4,4,4,4,4,3,3,4,22,2,6,6,2,1,1,1,3
5,5,5,5,5,5,5,5,5,1,1,1,5,5,3,5,5,5,5,1,5,3,5,5,3,3,5,5,5, , , , , , ,1,5,5,5,5,1,5,5,4,5,1,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,30,1,3,3,1,6,1,1,3
5,4,4,5,5,3,5,3,3,3,2,2,2,3,4,4,4,4,4,2,3,4,3,3,3,4,4,3,4, , , , , , ,1,5,4,4,3,3,4,4,4,5,2,1,3,2,3,2,3,4,5,4,4,3,4,4,2,4,3,20,2,1,1,2,1,2,1,3
5,3,4,5,5,5,4,3,4,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4, , , , , , ,1,4,4,4,4,3,4,5,3,4,2,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,27,1,5,5,2,5,1,1,3
5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, , , , , , ,1,5,5,5,5,5,3,3,2,5,2,5,3,5,3,3,5,4,4,4,4,1,1,1,5,5,5,18,2,2,2,1,11,1,1,3
4,3,2,4,5,3,4,3,4,2,2,2,4,5,2,2,4,3,3,2,4,2,2,3,2,2,5,5,2, , , , , , ,1,5,4,4,4,2,4,4,3,4,2,3,1,1,1,1,1,2,1,1,2,4,3,4,1,2,3,17,2,1,1,2,2,1,1,3
5,4,4,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,3,4,4,3,3,3,3,3,5,5,4, , , , , , ,1,4,4,3,4,3,3,4,3,4,3,3,4,4,4,4,4,4,4,5,5,3,2,2,2,4,4,17,2,1,1,1,11,2,1,3
3,4,5,4,4,4,4,3,4,4,4,4,4,4,5,3,4,3,4,4,3,2,3,2,3,3,4,4,4, , , , , , ,1,4,5,3,4,4,4,5,2,4,2,4,4,3,3,5,4,5,4,3,3,1,2,2,1,1,3,10,2,1,1,1,2,1,1,1
5,3,4,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,4,2,2,3,3,3,4,4,4, , , , , , ,1,4,4,3,4,3,3,4,2,4,2,4,4,4,2,3,3,4,4,4,3,3,4,4,3,3,4,21,2,2,2,1,5,1,1,3
5,3,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,3,5,3,3,3,4,5,5,5,4, , , , , , ,1,5,5,5,5,3,5,5,5,5,5,3,4,5,4,4,4,4,4,4,4,2,2,2,3,4,4,17,2,2,2,1,3,2,1,1
4,3,2,4,4,4,4,3,4,3,3,3,4,4,5,5,4,4,3,2,4,2,4,2,4,2,4,4,3, , , , , , ,1,5,5,5,4,2,3,4,3,5,3,2,3,2,3,3,3,4,2,3,4,1,1,1,2,4,3,12,2,1,1,2,6,1,1,3
3,3,3,4,5,5,5,4,4,3,2,3,4,4,4,4,3,4,4,3,5,2,2,1,4,3,5,4,4, , , , , , ,1,5,5,4,5,4,4,5,2,5,2,5,4,5,4,5,4,5,5,5,4,3,3,2,4,4,4,20,2,4,4,2,8,1,1,1
4,4,5,4,5,5,4,4,4,4,3,3,4,4,5,5,5,4,4,3,4,3,3,3,3,4,4,5,4, , , , , , ,1,4,5,4,5,3,5,5,4,3,2,4,4,5,3,3,4,3,3,5,5,4,4,4,4,3,3,22,2,5,5,2,11,1,1,1
5,3,4,5,5,5,5,5,5,3,3,3,5,5,5,5,5,3,5,2,4,4,4,4,2,2,5,5,3, , , , , , ,1,5,5,2,5,2,5,5,3,5,1,3,2,4,2,3,3,3,3,3,2,4,4,5,4,4,4,25,1,7,7,2,7,3,2,4
5,4,3,5,5,5,5,4,5,4,4,4,5,5,4,4,5,4,4,4,3,2,3,5,4,2,4,4,4, , , , , , ,1,5,4,3,5,4,2,4,1,4,1,4,3,5,3,4,3,4,4,3,3,1,1,3,2,1,1,9,2,2,2,1,4,3,2,2
5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,3,5,5,5,5, , , , , , ,1,5,5,5,5,5,5,5,3,5,3,5,5,5,3,4,4,5,4,5,5,4,1,3,2,2,3,15,2,5,5,2,11,2,1,3
5,3,5,5,5,5,5,4,3,4,4,3,4,5,5,4,4,2,3,3,5,1,1,2,4,3,4,4,3,1, , , , , , ,5,5,4,4,4,5,5,2,4,2,4,3,4,4,5,5,5,5,5,5,4,2,2,2,4,4,18,2,5,5,2,1,1,1,2
4,3,2,5,5,4,4,3,4,3,3,3,5,4,5,5,4,4,4, , , , , , , , , , , , , , , , ,1,5,4,4,3,3,4,5,3,4,1,3,2,5, , , , , , , ,3,3,3,2,3,3,17,2, , , , , , , 
4,4,4,3,4,4,4,4,4,3,3,3,4,3,4,4,4,3,3,3,4,3,4,4,3,2,4,4,4, , , , , , ,1,4,4,3,4,4,4,4,3,4,3,4,3,4,3,3,3,4,4,4,4,3,3,3,3,4,4,20,2,3,3,1,7,1,1,3
5,5,4,5,5,4,5,5,4,3,3,2,5,4,4,4,4,3,5,2,4,3,4,2,4,3,4,4,4, , ,1, , , , ,5,5,4,4,4,5,5,4,5,3,4,3,2,3,4,3,5,3,3,3,1,2,2,2,1,1,9,2,2,2,2,5,4,2,4
5,4,4,4,5,4,4,5,5,3,3,3,4,4,5,5,5,5,4,3,3,2,3,2,3,3,5,5,4, , ,1, , , ,1,5,4,5,4,3,4,5,3,3,3,3,3,3,2,2,2,2,2,2,3,5,4,5,4,3,3,24,1,2,2,2,3,5, ,4
5,4,4,5,5,4,5,4,4,4,4,4,4,5,5,3,5,3,5,3,4,1,4,3,3,4,5,5,4,1, , , , , , ,5,4,3,4,2,4,4,3,5,3,4,3,4,3,2,4,4,4,4,4,1,1,1,1,2,4,10,2,2,2,1,4,1,1,1
4,4,4,5,5,5,5,4,5,4,4,3,4,4,5,5,5,3,4,3,4,3,4,3,3,4,5,5,4, , , , , , ,1,5,5,5,4,2,4,5,4,4,2,3,3,3,2,4,3,2,2,2,5,4,2,4,3,3,3,19,2,1,1,1,10,3,2,5
4,3,4,4,5,5,5,4,3,4,4,4,4,5,3,3,4,4,3,3,3,3,3,3,4,4,4,4,3, , , , , , ,1,5,4,4,5,3,4,4,4,4,2,4,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,18,2,4,4,2,8,1,1,3
5,3,2,5,5,3,5,4,5,3,3,2,2,4,3,4,5,1,5,2,4,1,1,3,5,3,5,4,3, , , , , , ,1,5,4,4,4,2,2,5,3,4,1,4,3,3,2,2,2,2,4,2,2,3,4,4,3,4,5,23,1,4,4,2,3,1,1,3
